TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-08-02 21:50:29,1785707429258,www.clientum.com.ar/api/auth/me,GET,,401,z68nm-1785707429258-9a0c633f0696,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,7,iad1,218,2048,,prj_eWQb29mhSq476FVyk39JX582JR6x,,,01KZ279ZEVG7C3WW53MQMTYP9V,IyCuKRBR8D4x,1,,
2026-08-02 21:50:29,1785707429237,www.clientum.com.ar/api/auth/me,GET,,401,2q776-1785707429237-8ce389c7ddb2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,7,iad1,219,2048,,prj_eWQb29mhSq476FVyk39JX582JR6x,,,01KZ279ZE39ZTB3ET4TTYYMD67,IyCuKRBR8D4x,1,,
2026-08-02 21:50:26,1785707426346,www.clientum.com.ar/api/auth/forgot-password,POST,,500,7qjrz-1785707426244-62e13a2b989a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,,,,,[Auth] Error en forgot-password: getaddrinfo ENOTFOUND base,prj_eWQb29mhSq476FVyk39JX582JR6x,,,,,,,
2026-08-02 21:50:26,1785707426244,www.clientum.com.ar/api/auth/forgot-password,POST,,500,7qjrz-1785707426244-62e13a2b989a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,10,iad1,219,2048,,prj_eWQb29mhSq476FVyk39JX582JR6x,,,01KZ279WGSSVK4QRVK7TNMWX0M,IyCuKRBR8D4x,1,,
2026-08-02 21:50:24,1785707424378,www.clientum.com.ar/api/auth/login,POST,,500,sc86q-1785707424234-4169cd983348,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,,,,,"Error en /api/auth/login: Error: getaddrinfo ENOTFOUND base
    at /var/task/node_modules/.pnpm/pg-pool@3.14.0_pg@8.22.0/node_modules/pg-pool/index.js:45:11
    at process.processTicksAndRejections (node:internal/process/task_queues:104:5)
    at async <anonymous> (/vercel/path0/server.ts:309:20) {
  errno: -3008,
  code: 'ENOTFOUND',
  syscall: 'getaddrinfo',
  hostname: 'base'
}",prj_eWQb29mhSq476FVyk39JX582JR6x,,,,,,,
2026-08-02 21:50:24,1785707424234,www.clientum.com.ar/api/auth/login,POST,,500,sc86q-1785707424234-4169cd983348,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,52,iad1,218,2048,,prj_eWQb29mhSq476FVyk39JX582JR6x,,,01KZ279THJVK1RSGVG4VJFZAPA,IyCuKRBR8D4x,1,,
2026-08-02 21:50:21,1785707421256,www.clientum.com.ar/api/auth/me,GET,,401,cnkvz-1785707421256-c9466f45313b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,6,iad1,215,2048,,prj_eWQb29mhSq476FVyk39JX582JR6x,,,01KZ279QR8KQ5D6VXD80SPFA34,IyCuKRBR8D4x,1,,
2026-08-02 21:50:21,1785707421165,www.clientum.com.ar/api/auth/me,GET,,401,42dgv-1785707421165-670e2d8c01d3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,15,iad1,214,2048,,prj_eWQb29mhSq476FVyk39JX582JR6x,,,01KZ279QHYKE00M4XDC1M3B2YN,IyCuKRBR8D4x,1,,
2026-08-02 21:50:20,1785707420543,www.clientum.com.ar/api/auth/me,GET,,401,xn7gf-1785707419608-cb7df01c6766,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,,,,,◇ injected env (0) from .env // tip: ⌘ override existing { override: true },prj_eWQb29mhSq476FVyk39JX582JR6x,,,,,,,
2026-08-02 21:50:20,1785707420562,www.clientum.com.ar/api/auth/me,GET,,401,xn7gf-1785707419608-cb7df01c6766,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/index,www.clientum.com.ar,clsite-cjetj5dpj-clientumlatam-4461s-projects.vercel.app,dpl_8MqDcHWk1nUKiuqgU8KufDKAmemk,,,,,(node:4) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.,prj_eWQb29mhSq476FVyk39JX582JR6x,,,,,,,
